uri,Alias,Genotype,Treatment,Repetition,Sowing,Harvesting,Biomass(gramos_pesofresco)
http://www.phenome-fppn.fr/m3p/arch/2017/c17001183,1183/DZ_PG_21/ZM4360/WD/Rep_5/20_43/ARCH2017-03-30,iPG120,WD,5,06/04/2017,01/06/2017,476
http://www.phenome-fppn.fr/m3p/arch/2017/c17001184,1184/DZ_PG_41/ZM4378/WD/Rep_5/20_44/ARCH2017-03-30,iPG181,WD,5,06/04/2017,06/06/2017,299
http://www.phenome-fppn.fr/m3p/arch/2017/c17001185,1185/DZ_PG_55/ZM4355/WD/Rep_5/20_45/ARCH2017-03-30,iPG146,WD,5,06/04/2017,29/05/2017,490
http://www.phenome-fppn.fr/m3p/arch/2017/c17001186,1186/DZ_PG_18/ZM4373/WD/Rep_5/20_46/ARCH2017-03-30,iPG111,WD,5,06/04/2017,01/06/2017,285
http://www.phenome-fppn.fr/m3p/arch/2017/c17001187,1187/DZ_PG_27/ZM4354/WD/Rep_5/20_47/ARCH2017-03-30,iPG103,WD,5,06/04/2017,01/06/2017,344
http://www.phenome-fppn.fr/m3p/arch/2017/c17001188,1188/DZ_PG_37/ZM4364/WD/Rep_5/20_48/ARCH2017-03-30,iPG167,WD,5,06/04/2017,01/06/2017,303
http://www.phenome-fppn.fr/m3p/arch/2017/c17001189,1189/DZ_PG_17/ZM4348/WD/Rep_5/20_49/ARCH2017-03-30,iPG110,WD,5,06/04/2017,09/06/2017,350
http://www.phenome-fppn.fr/m3p/arch/2017/c17001190,1190/DZ_PG_33/ZM4353/WD/Rep_5/20_50/ARCH2017-03-30,iPG158,WD,5,06/04/2017,29/05/2017,478
http://www.phenome-fppn.fr/m3p/arch/2017/c17001191,1191/DZ_PG_13/ZM4379/WD/Rep_5/20_51/ARCH2017-03-30,iPG089,WD,5,06/04/2017,06/06/2017,411
http://www.phenome-fppn.fr/m3p/arch/2017/c17001192,1192/DZ_PG_26/ZM4387/WD/Rep_5/20_52/ARCH2017-03-30,iPG138,WD,5,06/04/2017,09/06/2017,409
http://www.phenome-fppn.fr/m3p/arch/2017/c17001193,1193/DZ_PG_66/ZM4391/WD/Rep_5/20_53/ARCH2017-03-30,iPG318,WD,5,06/04/2017,09/06/2017,336
http://www.phenome-fppn.fr/m3p/arch/2017/c17001194,1194/DZ_PG_11/ZM4386/WD/Rep_5/20_54/ARCH2017-03-30,iPG077,WD,5,06/04/2017,06/06/2017,368
http://www.phenome-fppn.fr/m3p/arch/2017/c17001195,1195/DZ_PG_46/ZM4374/WD/Rep_5/20_55/ARCH2017-03-30,iPG195,WD,5,06/04/2017,01/06/2017,406
http://www.phenome-fppn.fr/m3p/arch/2017/c17001196,1196/DZ_PG_03/ZM4377/WD/Rep_5/20_56/ARCH2017-03-30,iPG017,WD,5,06/04/2017,06/06/2017,374
http://www.phenome-fppn.fr/m3p/arch/2017/c17001197,1197/DZ_PG_49/ZM4389/WD/Rep_5/20_57/ARCH2017-03-30,iPG228,WD,5,06/04/2017,06/06/2017,418
http://www.phenome-fppn.fr/m3p/arch/2017/c17001198,1198/DZ_PG_20/ZM4344/WD/Rep_5/20_58/ARCH2017-03-30,iPG119,WD,5,06/04/2017,01/06/2017,459
http://www.phenome-fppn.fr/m3p/arch/2017/c17001199,1199/DZ_PG_25/ZM4382/WD/Rep_5/20_59/ARCH2017-03-30,iPG136,WD,5,06/04/2017,06/06/2017,388
http://www.phenome-fppn.fr/m3p/arch/2017/c17001200,1200/DZ_PG_02/ZM4356/WD/Rep_5/20_60/ARCH2017-03-30,iPG007,WD,5,06/04/2017,01/06/2017,368
http://www.phenome-fppn.fr/m3p/arch/2017/c17001201,1201/DZ_PG_45/ZM4385/WD/Veg_3/21_01/ARCH2017-03-30,iPG194,WD,3,06/04/2017,12/05/2017,198
http://www.phenome-fppn.fr/m3p/arch/2017/c17001202,1202/DZ_PG_25/ZM4382/WD/Veg_3/21_02/ARCH2017-03-30,iPG136,WD,3,06/04/2017,12/05/2017,155
http://www.phenome-fppn.fr/m3p/arch/2017/c17001203,1203/DZ_PG_06/ZM4376/WD/Veg_3/21_03/ARCH2017-03-30,iPG029,WD,3,06/04/2017,12/05/2017,161
http://www.phenome-fppn.fr/m3p/arch/2017/c17001204,1204/DZ_PG_09/ZM4368/WD/Veg_3/21_04/ARCH2017-03-30,iPG066,WD,3,06/04/2017,12/05/2017,179
http://www.phenome-fppn.fr/m3p/arch/2017/c17001205,1205/DZ_PG_39/ZM4371/WD/Veg_3/21_05/ARCH2017-03-30,iPG173,WD,3,06/04/2017,12/05/2017,176
http://www.phenome-fppn.fr/m3p/arch/2017/c17001206,1206/DZ_PG_11/ZM4386/WD/Veg_3/21_06/ARCH2017-03-30,iPG077,WD,3,06/04/2017,12/05/2017,158
http://www.phenome-fppn.fr/m3p/arch/2017/c17001207,1207/DZ_PG_17/ZM4348/WD/Veg_3/21_07/ARCH2017-03-30,iPG110,WD,3,06/04/2017,12/05/2017,198
http://www.phenome-fppn.fr/m3p/arch/2017/c17001208,1208/DZ_PG_32/ZM4352/WD/Veg_3/21_08/ARCH2017-03-30,iPG155,WD,3,06/04/2017,12/05/2017,270
http://www.phenome-fppn.fr/m3p/arch/2017/c17001209,1209/DZ_PG_43/ZM4380/WD/Veg_3/21_09/ARCH2017-03-30,iPG188,WD,3,06/04/2017,12/05/2017,156
http://www.phenome-fppn.fr/m3p/arch/2017/c17001210,1210/DZ_PG_68/ZM4395/WD/Veg_3/21_10/ARCH2017-03-30,iPG311,WD,3,06/04/2017,12/05/2017,173
http://www.phenome-fppn.fr/m3p/arch/2017/c17001211,1211/DZ_PG_37/ZM4364/WD/Veg_3/21_11/ARCH2017-03-30,iPG167,WD,3,06/04/2017,12/05/2017,132
